City,Continent,City Type,Tourism Type,Weather,Accommodation Cost,Transportation Cost
Cairo,Africa,historical,cultural,tropical,461,40
Cairo,Africa,historical,cultural,temperate,307,14
Cairo,Africa,historical,cultural,arid,157,14
Cairo,Africa,historical,cultural,cold,45,221
Cairo,Africa,historical,cultural,rainy,472,238
Cairo,Africa,historical,cultural,cloudy,80,186
Cairo,Africa,historical,adventure,tropical,83,210
Cairo,Africa,historical,adventure,temperate,364,236
Cairo,Africa,historical,adventure,arid,176,139
Cairo,Africa,historical,adventure,cold,410,206
Cairo,Africa,historical,adventure,rainy,116,168
Cairo,Africa,historical,adventure,cloudy,427,185
Cairo,Africa,historical,beach,tropical,181,243
Cairo,Africa,historical,beach,temperate,489,254
Cairo,Africa,historical,beach,arid,289,50
Cairo,Africa,historical,beach,cold,328,133
Cairo,Africa,historical,beach,rainy,440,289
Cairo,Africa,historical,beach,cloudy,25,50
Cairo,Africa,historical,medical,tropical,418,123
Cairo,Africa,historical,medical,temperate,294,52
Cairo,Africa,historical,medical,arid,377,295
Cairo,Africa,historical,medical,cold,195,255
Cairo,Africa,historical,medical,rainy,325,249
Cairo,Africa,historical,medical,cloudy,126,109
Cairo,Africa,historical,nature,tropical,419,172
Cairo,Africa,historical,nature,temperate,218,155
Cairo,Africa,historical,nature,arid,124,143
Cairo,Africa,historical,nature,cold,100,288
Cairo,Africa,historical,nature,rainy,23,218
Cairo,Africa,historical,nature,cloudy,348,290
Cairo,Africa,mountains,cultural,tropical,257,239
Cairo,Africa,mountains,cultural,temperate,351,145
Cairo,Africa,mountains,cultural,arid,256,26
Cairo,Africa,mountains,cultural,cold,316,127
Cairo,Africa,mountains,cultural,rainy,76,144
Cairo,Africa,mountains,cultural,cloudy,369,78
Cairo,Africa,mountains,adventure,tropical,136,266
Cairo,Africa,mountains,adventure,temperate,299,23
Cairo,Africa,mountains,adventure,arid,239,26
Cairo,Africa,mountains,adventure,cold,465,10
Cairo,Africa,mountains,adventure,rainy,262,144
Cairo,Africa,mountains,adventure,cloudy,195,143
Cairo,Africa,mountains,beach,tropical,139,189
Cairo,Africa,mountains,beach,temperate,58,139
Cairo,Africa,mountains,beach,arid,430,11
Cairo,Africa,mountains,beach,cold,486,217
Cairo,Africa,mountains,beach,rainy,453,245
Cairo,Africa,mountains,beach,cloudy,128,138
Cairo,Africa,mountains,medical,tropical,286,58
Cairo,Africa,mountains,medical,temperate,207,225
Cairo,Africa,mountains,medical,arid,252,273
Cairo,Africa,mountains,medical,cold,104,96
Cairo,Africa,mountains,medical,rainy,63,61
Cairo,Africa,mountains,medical,cloudy,271,241
Cairo,Africa,mountains,nature,tropical,132,263
Cairo,Africa,mountains,nature,temperate,249,200
Cairo,Africa,mountains,nature,arid,227,227
Cairo,Africa,mountains,nature,cold,471,25
Cairo,Africa,mountains,nature,rainy,462,51
Cairo,Africa,mountains,nature,cloudy,384,79
Cairo,Africa,urban,cultural,tropical,477,200
Cairo,Africa,urban,cultural,temperate,357,126
Cairo,Africa,urban,cultural,arid,211,226
Cairo,Africa,urban,cultural,cold,490,232
Cairo,Africa,urban,cultural,rainy,256,67
Cairo,Africa,urban,cultural,cloudy,340,98
Cairo,Africa,urban,adventure,tropical,52,247
Cairo,Africa,urban,adventure,temperate,223,109
Cairo,Africa,urban,adventure,arid,28,218
Cairo,Africa,urban,adventure,cold,142,196
Cairo,Africa,urban,adventure,rainy,342,223
Cairo,Africa,urban,adventure,cloudy,452,136
Cairo,Africa,urban,beach,tropical,181,131
Cairo,Africa,urban,beach,temperate,247,169
Cairo,Africa,urban,beach,arid,484,111
Cairo,Africa,urban,beach,cold,77,63
Cairo,Africa,urban,beach,rainy,101,97
Cairo,Africa,urban,beach,cloudy,473,114
Cairo,Africa,urban,medical,tropical,368,19
Cairo,Africa,urban,medical,temperate,78,68
Cairo,Africa,urban,medical,arid,39,43
Cairo,Africa,urban,medical,cold,313,297
Cairo,Africa,urban,medical,rainy,395,94
Cairo,Africa,urban,medical,cloudy,116,69
Cairo,Africa,urban,nature,tropical,188,241
Cairo,Africa,urban,nature,temperate,106,108
Cairo,Africa,urban,nature,arid,248,17
Cairo,Africa,urban,nature,cold,415,209
Cairo,Africa,urban,nature,rainy,450,61
Cairo,Africa,urban,nature,cloudy,324,285
Cairo,Africa,coastal,cultural,tropical,340,230
Cairo,Africa,coastal,cultural,temperate,171,62
Cairo,Africa,coastal,cultural,arid,452,119
Cairo,Africa,coastal,cultural,cold,355,50
Cairo,Africa,coastal,cultural,rainy,283,82
Cairo,Africa,coastal,cultural,cloudy,147,19
Cairo,Africa,coastal,adventure,tropical,418,274
Cairo,Africa,coastal,adventure,temperate,101,225
Cairo,Africa,coastal,adventure,arid,70,296
Cairo,Africa,coastal,adventure,cold,138,32
Cairo,Africa,coastal,adventure,rainy,379,76
Cairo,Africa,coastal,adventure,cloudy,247,39
Cairo,Africa,coastal,beach,tropical,211,104
Cairo,Africa,coastal,beach,temperate,253,102
Cairo,Africa,coastal,beach,arid,479,219
Cairo,Africa,coastal,beach,cold,443,39
Cairo,Africa,coastal,beach,rainy,212,41
Cairo,Africa,coastal,beach,cloudy,389,39
Cairo,Africa,coastal,medical,tropical,441,228
Cairo,Africa,coastal,medical,temperate,442,222
Cairo,Africa,coastal,medical,arid,277,91
Cairo,Africa,coastal,medical,cold,222,48
Cairo,Africa,coastal,medical,rainy,231,295
Cairo,Africa,coastal,medical,cloudy,102,26
Cairo,Africa,coastal,nature,tropical,201,28
Cairo,Africa,coastal,nature,temperate,329,284
Cairo,Africa,coastal,nature,arid,27,153
Cairo,Africa,coastal,nature,cold,492,132
Cairo,Africa,coastal,nature,rainy,477,158
Cairo,Africa,coastal,nature,cloudy,394,130
Alexandria,Africa,historical,cultural,tropical,418,37
Alexandria,Africa,historical,cultural,temperate,89,253
Alexandria,Africa,historical,cultural,arid,438,23
Alexandria,Africa,historical,cultural,cold,421,31
Alexandria,Africa,historical,cultural,rainy,66,233
Alexandria,Africa,historical,cultural,cloudy,239,251
Alexandria,Africa,historical,adventure,tropical,166,179
Alexandria,Africa,historical,adventure,temperate,88,270
Alexandria,Africa,historical,adventure,arid,409,217
Alexandria,Africa,historical,adventure,cold,92,99
Alexandria,Africa,historical,adventure,rainy,234,154
Alexandria,Africa,historical,adventure,cloudy,114,54
Alexandria,Africa,historical,beach,tropical,164,162
Alexandria,Africa,historical,beach,temperate,390,98
Alexandria,Africa,historical,beach,arid,101,64
Alexandria,Africa,historical,beach,cold,353,12
Alexandria,Africa,historical,beach,rainy,392,38
Alexandria,Africa,historical,beach,cloudy,334,96
Alexandria,Africa,historical,medical,tropical,149,129
Alexandria,Africa,historical,medical,temperate,90,13
Alexandria,Africa,historical,medical,arid,389,228
Alexandria,Africa,historical,medical,cold,361,210
Alexandria,Africa,historical,medical,rainy,418,93
Alexandria,Africa,historical,medical,cloudy,399,272
Alexandria,Africa,historical,nature,tropical,58,155
Alexandria,Africa,historical,nature,temperate,193,39
Alexandria,Africa,historical,nature,arid,473,74
Alexandria,Africa,historical,nature,cold,289,29
Alexandria,Africa,historical,nature,rainy,291,81
Alexandria,Africa,historical,nature,cloudy,240,271
Alexandria,Africa,mountains,cultural,tropical,87,159
Alexandria,Africa,mountains,cultural,temperate,400,196
Alexandria,Africa,mountains,cultural,arid,445,153
Alexandria,Africa,mountains,cultural,cold,186,188
Alexandria,Africa,mountains,cultural,rainy,126,44
Alexandria,Africa,mountains,cultural,cloudy,439,262
Alexandria,Africa,mountains,adventure,tropical,451,167
Alexandria,Africa,mountains,adventure,temperate,356,267
Alexandria,Africa,mountains,adventure,arid,333,215
Alexandria,Africa,mountains,adventure,cold,166,146
Alexandria,Africa,mountains,adventure,rainy,283,94
Alexandria,Africa,mountains,adventure,cloudy,28,81
Alexandria,Africa,mountains,beach,tropical,289,100
Alexandria,Africa,mountains,beach,temperate,157,30
Alexandria,Africa,mountains,beach,arid,487,116
Alexandria,Africa,mountains,beach,cold,267,270
Alexandria,Africa,mountains,beach,rainy,235,66
Alexandria,Africa,mountains,beach,cloudy,397,65
Alexandria,Africa,mountains,medical,tropical,335,207
Alexandria,Africa,mountains,medical,temperate,111,119
Alexandria,Africa,mountains,medical,arid,468,145
Alexandria,Africa,mountains,medical,cold,478,224
Alexandria,Africa,mountains,medical,rainy,223,292
Alexandria,Africa,mountains,medical,cloudy,230,143
Alexandria,Africa,mountains,nature,tropical,210,297
Alexandria,Africa,mountains,nature,temperate,274,234
Alexandria,Africa,mountains,nature,arid,168,139
Alexandria,Africa,mountains,nature,cold,470,256
Alexandria,Africa,mountains,nature,rainy,45,254
Alexandria,Africa,mountains,nature,cloudy,498,251
Alexandria,Africa,urban,cultural,tropical,182,75
Alexandria,Africa,urban,cultural,temperate,415,136
Alexandria,Africa,urban,cultural,arid,185,73
Alexandria,Africa,urban,cultural,cold,345,178
Alexandria,Africa,urban,cultural,rainy,248,300
Alexandria,Africa,urban,cultural,cloudy,209,211
Alexandria,Africa,urban,adventure,tropical,66,159
