Trip ID,Destination,Start date,End date,Duration (days),Traveler name,Traveler age,Traveler gender,Traveler nationality,Accommodation type,Accommodation cost,Transportation type,Transportation cost,About City,Weather,Continent,Type of City,Type of Tourism
1,Alexandria,5/1/2023,5/8/2023,7,John Smith 1,35,Male,American,Hotel,1200,Flight,600,"London, the capital of England and the United Kingdom, is a 21st-century city with history stretching back to Roman times.",Hot,Europe,Coastal,Therapeutic
2,Cairo,6/15/2023,6/20/2023,5,Jane Doe 2,28,Female,Canadian,Resort,800,Flight,500,"Phuket is among the world’s finest beach destinations, with fine white sands, nodding palm trees, glittering seas and lively towns.",Rainy,Asia,Desert,Recreational
3,Luxor,7/1/2023,7/8/2023,7,David Lee 3,45,Male,Korean,Villa,1000,Flight,700,"Bali is a popular travel destination known for its forested volcanic mountains, iconic rice paddies, beaches and coral reefs.",Cold,North America,Urban,Religious
4,Sharm El-Sheikh,8/15/2023,8/29/2023,14,Sarah Johnson 4,29,Female,British,Hotel,2000,Flight,1000,"New York City comprises 5 boroughs sitting where the Hudson River meets the Atlantic Ocean, with iconic sites like the Empire State Building and Central Park.",Moisture,South America,Rural,Archaeological
5,Aswan,9/10/2023,9/17/2023,7,Kim Nguyen 5,26,Female,Vietnamese,Airbnb,700,Flight,200,"Tokyo, Japan’s busy capital, mixes the ultramodern and the traditional, from neon-lit skyscrapers to historic temples.",Dry,Africa,Archaeological,Environmental
6,Sao Paulo,10/5/2023,10/10/2023,5,Michael Brown 6,42,Male,American,Hotel,1500,Flight,800,"Paris, France is a renowned city known for its vibrant culture and rich history.",Hot,Australia,Coastal,Sports
7,Paris,11/20/2023,11/30/2023,10,Emily Davis 7,33,Female,Australian,Hostel,500,Flight,1200,"Sydney, Australia is a renowned city known for its vibrant culture and rich history.",Rainy,Europe,Desert,Cultural
8,Mexico City,1/5/2024,1/12/2024,7,Lucas Santos 8,25,Male,Brazilian,Airbnb,900,Flight,600,"Rio de Janeiro, Brazil is a renowned city known for its vibrant culture and rich history.",Cold,Asia,Urban,Therapeutic
9,Dubai,2/14/2024,2/21/2024,7,Laura Janssen 9,31,Female,Dutch,Hotel,1200,Flight,200,"Amsterdam, Netherlands is a renowned city known for its vibrant culture and rich history.",Moisture,North America,Rural,Recreational
10,New York,3/10/2024,3/17/2024,7,Mohammed Ali 10,39,Male,Emirati,Resort,2500,Flight,800,"Dubai, United Arab Emirates is a renowned city known for its vibrant culture and rich history.",Dry,South America,Archaeological,Religious
11,Los Angeles,4/1/2024,4/8/2024,7,Ana Hernandez 11,27,Female,Mexican,Hotel,1000,Flight,500,"Cancun is known for its beaches, numerous resorts, and nightlife.",Hot,Africa,Coastal,Archaeological
12,Toronto,5/15/2024,5/22/2024,7,Carlos Garcia 12,36,Male,Spanish,Airbnb,800,Flight,100,"Barcelona, the cosmopolitan capital of Spain’s Catalonia region, is known for its art and architecture.",Rainy,Australia,Desert,Environmental
